question,option1,option2,option3,option4,answer,imageName,underline
過密,雑誌で紹介されてから、この商品への過密な注文が続いているらしい。,水質汚染に関して人々の抗議が過密になり、政府は対策を迫られている。,今回の出張は過密なスケジュールで、ゆっくり食事する時間もなさそうだ。,春になると、この池の周りには、色とりどりの花が過密に咲き乱れる。,今回の出張は過密なスケジュールで、ゆっくり食事する時間もなさそうだ。,,過密
朝の満員電車。車内の混雑を（ ） 、私の目の前に座っている学生風の男は、平然とノートパソコンを広げて、作業に没頭していた。,含めて,もとに,除いて,よそに,よそに,,
私の父は、（ ）もしないで漫画を批判するから、本当に嫌になる。,読まない,読み,読もう,読んで,読み,,
"（卒業生へのインタビューで）

聞き手「学生時代にやったことで、今の仕事に役立っていることは何でしょうか。」

田中 「ラグビー部での経験ですね。チームワークの大切さを痛感しました。（ ） 、それは去年企画チームのリーダーになって初めて気づいたことですが。」",要するに,あるいは,もっとも,ついては,もっとも,,
"村の郷土史をまとめるにあたり、今年９ ０歳になる元村長の東山さんにお話を伺った。
村に初めて汽車が走ったときのことを鮮明に覚えて（ ） 、その記憶力に驚いた。",おいでになり,差し上げ,まいり,申し上げ,おいでになり,,
"（求人サイトの「よくある質問」で）

Ｑ:インテリアに関する知識がないのですが、働けますか。

Ａ:研修があるので大丈夫です。知識はある（ ）が、それよりも人柄や仕事に取り組む姿勢を重視しています。",にすぎません,ことは否めません,に越したことはありません,といっても過言ではありません,に越したことはありません,,
"（お知らせで）
水道管破裂による断水のため、８月１ ２日まで市民プールの営業を休止します。復旧状況（ ） 、営業再開が遅れる可能性がありますので、ご了承ください。",次第には,次第に,次第では,次第,次第では,,
クレジットカードの番号等、他人に（ ）困る情報は、電子メールには書かないほうがいいそうだ。,知っていても,知っていなくても,知らなくては,知られては,知られては,,
仕事は、決められた時間内に、いかに成果を上げるかが大切であり、単に時間をかけて（ ）と私は思う。,がんばることだといってもおかしくない,がんばればいいというものではない,がんばることでしかない,がんばりようがない,がんばればいいというものではない,,
現在、潜水調査船を用いた調査研究が進展中であり、いずれ近いうちに海底のより詳細な地質構造が明らかに（ ） 。,なるものと思われる,するという思いがある,なったかに思える,するだろうと思う,なるものと思われる,,
"山下「あのう、西村先輩。私、今日でこのサークルを（ ） 。」
西村「ええ？ 辞める？ 急にどうして？」",辞めてしまわれたのでしょうか,辞めてしまったのかと思って,辞めさせたらどうでしょうか,辞めさせてもらおうかと思って,辞めさせてもらおうかと思って,,
"次の文の ★ に入る最もよいものを、一つ選びなさい。
「アセビ」という、白い花を咲かせる樹木を漢字で「馬酔木」と書くのは、アセビには ★ __ __ __ そうです。",由来する,有毒成分があり,状態になることに,馬が食べると酔ったような,有毒成分があり,,★
家族の時間を大切にする夫は、つい __ __ ★ __ ありがたい存在です。,本当に大切なものは何なのか,私に,仕事に夢中になりすぎる,気づかせてくれる,本当に大切なものは何なのか,,★
Ｚ県知事の林和夫氏は、週刊誌で、脱税を行った __ __ ★ __異なり、名誉を傷つけられたとして、発行元のＸ社を相手取り訴訟を起こした。,事実とは全く,疑いがあるなどと,報じられた,ことに対し,ことに対し,,★
Ｑ鉄道が１ ０年ぶりに運賃値上げに踏み切った。安全対策や原油の高騰で支出が増え、経営努力だけでは対応しきれないと判断 __ __ ★ __。,という,の,ことだ,して,ことだ,,★
世の中にはさまざまな資格があふれているが、資格を取った __ __ __ ★ 世間は甘くないらしい。,だけ,ほど,で,希望の職につける,ほど,,★
41の中に 入る最もよいものを、一つ選びなさい。,こちらにはいえないこともない,こちらにいえるとは限らない,こちらにもいえるとは思わなかった,こちらにはいえないと思うのか,こちらにいえるとは限らない,JlptN1ReadingImgae1,
42の中に 入る最もよいものを、一つ選びなさい。,そういう,する,あの,やろうという,そういう,JlptN1ReadingImgae1,
43の中に 入る最もよいものを、一つ選びなさい。,トイレのことだ,トイレのことであるに違いない,トイレだからである,トイレだと聞いている,トイレのことだ,JlptN1ReadingImgae1,
44の中に 入る最もよいものを、一つ選びなさい。,もっともである,当然である,ところがである,例えばである,ところがである,JlptN1ReadingImgae1,
45の中に 入る最もよいものを、一つ選びなさい。,認識させられたことがある,認識させられたおかげだ,認識させられる話があった,認識させられる出来事だった,認識させられる出来事だった,JlptN1ReadingImgae1,
筆者の考えに合うのはどれか。,教師と生徒が自由に発言し合うことも必要だ。,教師は生徒の考えを想像するべきだ。,教師は生徒の発言を待つことも必要だ。,教師は生徒に沈黙の時間を与えないようにすべきだ。,教師は生徒の発言を待つことも必要だ。,JlptN1ReadingImgae2,
市民運動場の予約について、このお知らせは何を知らせているか。,管理事務所窓口での予約受付期間が変更になること,管理事務所窓口で利用者登録をすれば、インターネット上で予約ができるようになること,インターネット上での予約受付時間がこれまでより長くなること,インターネット上の予約システムの導入により、管理事務所窓口での予約ができなくなること。,管理事務所窓口で利用者登録をすれば、インターネット上で予約ができるようになること,JlptN1ReadingImgae3,
筆者によると、異文化間で対話を通して人間関係を築く上で最も大切なことは何か。,自己の価値観を理解してもらおうとする態度,自己の価値観を保ちながら、他者の価値観を理解する態度,他者と自己の共通の価値観を創り上げていく態度,他者の価値観の中に自己の価値観との共通点を見つける態度,他者と自己の共通の価値観を創り上げていく態度,JlptN1ReadingImgae4,
この文章で筆者が述べていることは何か。,「普通」という視点がないと、「特別なもの」は作れない。,「普通の人」が普通のものを作ると、「特別なもの」になる。,「変な人」が普通のものを作ると、「特別なもの」になる。,「変な人」の視点でしか、「特別なもの」は作れない。,「普通」という視点がないと、「特別なもの」は作れない。,JlptN1ReadingImgae5,
謎が多いとあるが、謎に合うのはどれか。,犬ではなくオオカミを飼おうとしたこと,オオカミを肉食獣だと思わなかったこと,恐ろしいオオカミを飼って利用しようと考えたこと,狩りの邪魔になるのに恐ろしいオオカミを飼おうとしたこと,恐ろしいオオカミを飼って利用しようと考えたこと,JlptN1ReadingImgae6,謎が多い
筆者によると、どのようなオオカミが犬の祖先だと考えられるか。,犬ではなくオオカミを飼おうとしたこと,狩りの上手なオオカミ,群れから追い出されたオオカミ,群れの中で下位のオオカミ,群れの中で下位のオオカミ,JlptN1ReadingImgae6,
犬の祖先が人間と暮らすようになったきっかけについて、筆者はどのように考えているか。,人間を利用して仲間からの危険を避けようとした。,人間に近づいて食糧を得ようとした。,人間が狩りの手助けをさせた。,人間がエサを与えた。,人間に近づいて食糧を得ようとした。,JlptN1ReadingImgae6,
そんなふうにとあるが、子どもはどんなふうに大人を見ているのか。,早く大人になりたいと思っている。,あんな大人にはなりたくないと思っている。,自分が失敗したときどうするか考えている。,大人になるのが怖いと思っている。,あんな大人にはなりたくないと思っている。,JlptN1ReadingImgae7,そんなふうに
これほど子どもにとって不幸なことはないとあるが、何が不幸なのか。,大人を見ても未来の自分に希望が持てないこと,大人を見てもすてきな大人になる自信が持てないこと,大人を見ても今何をしておけばいいか分からないこと,大人を見ても将来自分のしたいことが見つからないこと,大人を見ても未来の自分に希望が持てないこと,JlptN1ReadingImgae7,これほど子どもにとって不幸なことはない
筆者が大人に対して伝えたいことは何か。,人生の先輩らしく、いつもかっこいい大人でいよう。,ベテランの子どもとして、子どもを幸福な将来へ導いてあげよう。,子どもたちに、大人の魅力的な世界を教えよう。,子どもたちに、ベテランの子どもとしての行いを示そう。,子どもたちに、ベテランの子どもとしての行いを示そう。,JlptN1ReadingImgae7,
